x	y	cut_x	y_label_idx
找其他王一博主演的古装剧播放可以吗，除了有匪	FilmTele-Play	找 其他 王一博 主演 的 古装剧 播放 可以 吗 ， 除了 有匪	3
来给我继续播放下布衣天子吧	FilmTele-Play	来 给 我 继续 播放 下 布衣 天子 吧	3
2019年肖战的剧是不是可以给我播放	FilmTele-Play	2019 年 肖战 的 剧 是不是 可以 给 我 播放	3
我要写个观后感，请替我找个60年代战争题材电影	FilmTele-Play	我要 写个 观后感 ， 请 替 我 找个 60 年代 战争 题材 电影	3
有没有今年上新的美国动作类电影播放一下吧	FilmTele-Play	有没有 今年 上 新 的 美国 动作类 电影 播放 一下 吧	3
王艳梅演的水中花请播放	FilmTele-Play	王艳梅演 的 水中 花请 播放	3
我想看一会港片新喜剧之王呢	FilmTele-Play	我 想 看 一会 港片 新 喜剧之王 呢	3
90年代的那个恐怖片继续给我播放吧	FilmTele-Play	90 年代 的 那个 恐怖片 继续 给 我 播放 吧	3
我要看一个2018年的电影影呢	FilmTele-Play	我要 看 一个 2018 年 的 电影 影 呢	3
能不能把风声这个推理剧给我放出来	FilmTele-Play	能 不能 把 风声 这个 推理 剧给 我 放 出来	3
能给我一个轻松的爱情剧看看吗	FilmTele-Play	能 给 我 一个 轻松 的 爱情 剧 看看 吗	3
播放2007年的偶像剧奋斗1点25倍速	FilmTele-Play	播放 2007 年 的 偶像剧 奋斗 1 点 25 倍速	3
麻烦打开乐视播放面具背后	FilmTele-Play	麻烦 打开 乐视 播放 面具 背后	3
我现在要看乌鸦小姐与蜥蜴先生 	FilmTele-Play	我 现在 要 看 乌鸦 小姐 与 蜥蜴 先生  	3
我要看一遍倩女幽魂，要张国荣版的哦	FilmTele-Play	我要 看一遍 倩女幽魂 ， 要 张国荣 版 的 哦	3
立刻就想看美国的2020年的电影	FilmTele-Play	立刻 就 想 看 美国 的 2020 年 的 电影	3
播放香港喜剧我爱钟无艳	FilmTele-Play	播放 香港 喜剧 我爱钟 无艳	3
是不是能给我播放一个台湾女演员林志玲的电视剧	FilmTele-Play	是不是 能 给 我 播放 一个 台湾 女演员 林志玲 的 电视剧	3
播放这就是生活刘恺威陈都灵演的	FilmTele-Play	播放 这 就是 生活 刘恺威 陈 都灵 演 的	3
我想看芒果TV的正是青春璀璨时	FilmTele-Play	我 想 看 芒果 TV 的 正是 青春 璀璨 时	3
日本电影昼颜播放给我看看可以不	FilmTele-Play	日本 电影 昼颜 播放 给 我 看看 可以 不	3
帮我播放那片花那片海	FilmTele-Play	帮 我 播放 那 片花 那片海	3
泰剧禁忌女孩可以播放一下不	FilmTele-Play	泰剧 禁忌 女孩 可以 播放 一下 不	3
在二十分钟之后播放80年代首次在意大利上映的末代皇帝。	FilmTele-Play	在 二十分钟 之后 播放 80 年代 首次 在 意大利 上映 的 末代皇帝 。	3
我要看成龙主演的动作片十二生肖。	FilmTele-Play	我要 看成 龙 主演 的 动作片 十二生肖 。	3
麻烦播放由梁朝伟和张曼玉主演的电影花样年华。	FilmTele-Play	麻烦 播放 由 梁朝伟 和 张曼玉 主演 的 电影 花样年华 。	3
孙俪主演的都市职场剧安家第五集我想看	FilmTele-Play	孙俪 主演 的 都市 职场 剧 安家 第五集 我 想 看	3
有个日本推理片嫌疑人X的献身我想看	FilmTele-Play	有个 日本 推理片 嫌疑人 X 的 献身 我 想 看	3
喜剧西红柿首富是不是可以播放一下呢	FilmTele-Play	喜剧 西红柿 首富 是不是 可以 播放 一下 呢	3
我想看陈情令大结局帮我播放一下	FilmTele-Play	我 想 看 陈情 令 大结局 帮 我 播放 一下	3
能续播吴磊那个电视剧吗	FilmTele-Play	能续播 吴磊 那个 电视剧 吗	3
我想看一个喜剧电影夏洛特烦恼呢	FilmTele-Play	我 想 看 一个 喜剧电影 夏洛特 烦恼 呢	3
放还有诗和远方的第二季不是第一季	FilmTele-Play	放 还有 诗 和 远方 的 第二季 不是 第一季	3
就想看看孙俪演的甄嬛传	FilmTele-Play	就 想 看看 孙俪演 的 甄 嬛 传	3
雷佳音和陈数演的那个和平饭店我想看	FilmTele-Play	雷 佳音 和 陈数演 的 那个 和平 饭店 我 想 看	3
徐克导演都有什么动作电影，按评分来播放	FilmTele-Play	徐克 导演 都 有 什么 动作 电影 ， 按 评分 来 播放	3
播放苏晓彤主演的大宋少年志	FilmTele-Play	播放 苏晓彤 主演 的 大宋 少年 志	3
找一部岳云鹏参演的电影看	FilmTele-Play	找 一部 岳云鹏 参演 的 电影 看	3
我想看一会韩剧，那个朴信惠出演的可以吗	FilmTele-Play	我 想 看 一会 韩剧 ， 那个 朴信惠 出演 的 可以 吗	3
看一下蓝盈盈主演的精英律师怎么样。	FilmTele-Play	看 一下 蓝盈盈 主演 的 精英 律师 怎么样 。	3
帮我播放战争片地道战	FilmTele-Play	帮 我 播放 战争片 地道战	3
播放古代神话的片妈祖，大陆版本的	FilmTele-Play	播放 古代 神话 的 片 妈祖 ， 大陆 版本 的	3
推理剧续播一下可以不	FilmTele-Play	推理 剧续播 一下 可以 不	3
给我看一个盗墓片盗墓笔记的第一集吧	FilmTele-Play	给 我 看 一个 盗墓 片 盗墓 笔记 的 第一集 吧	3
让那个台湾的偶像剧继续播放一下吧	FilmTele-Play	让 那个 台湾 的 偶像剧 继续 播放 一下 吧	3
张雪迎和李治廷演的白发播放按时间	FilmTele-Play	张雪迎 和 李治廷演 的 白发 播放 按 时间	3
继续播放一下去年上线的那个美国科幻片	FilmTele-Play	继续 播放 一下 去年 上线 的 那个 美国 科幻片	3
找一个盗墓片的最后一集给我看	FilmTele-Play	找 一个 盗墓 片 的 最后 一集 给 我 看	3
贾玲的你好李焕英已经出了，赶紧播放给我	FilmTele-Play	贾玲 的 你好 李焕英 已经 出 了 ， 赶紧 播放 给 我	3
是不是可以继续播放清宫的剧甄嬛传呀	FilmTele-Play	是不是 可以 继续 播放 清宫 的 剧 甄 嬛 传 呀	3
是不是能给我播放一个王刚演得历史剧	FilmTele-Play	是不是 能 给 我 播放 一个 王刚 演得 历史剧	3
开开芒果TV上黄景瑜迪丽热巴主演的幸福触手可及给我放一下	FilmTele-Play	开开 芒果 TV 上 黄景 瑜迪丽 热巴 主演 的 幸福 触手可及 给 我 放 一下	3
放一个80年代香港的恐怖片	FilmTele-Play	放 一个 80 年代 香港 的 恐怖片	3
播一下因法之名	FilmTele-Play	播 一下 因法 之名	3
那帮我播一下大宋宫词哈	FilmTele-Play	那帮 我播 一下 大宋 宫词 哈	3
秋瓷炫演出的韩剧给我播放一个	FilmTele-Play	秋瓷 炫 演出 的 韩剧 给 我 播放 一个	3
近五年冯小刚导演的电影找一个播放	FilmTele-Play	近 五年 冯小刚 导演 的 电影 找 一个 播放	3
运动后我想观看一下由王家卫导演的电影春光乍泄。	FilmTele-Play	运动 后 我 想 观看 一下 由 王家卫 导演 的 电影 春光乍泄 。	3
范迪塞尔导演的美剧可以来一个看看不	FilmTele-Play	范 迪塞尔 导演 的 美剧 可以 来 一个 看看 不	3
麻烦帮我接着上次播放一下暗恋橘生淮南	FilmTele-Play	麻烦 帮 我 接着 上次 播放 一下 暗恋 橘生 淮南	3
放一个2006年的古装剧可以吗	FilmTele-Play	放 一个 2006 年 的 古装剧 可以 吗	3
我想要看暖暖请多指教给我找一下	FilmTele-Play	我 想要 看暖 暖 请 多 指教 给 我 找 一下	3
2倍速放黄轩杨颖演的创业时代	FilmTele-Play	2 倍速 放 黄轩 杨颖演 的 创业 时代	3
播放刘德华主演的人潮汹涌	FilmTele-Play	播放 刘德华 主演 的 人潮 汹涌	3
给我播放讲宫廷的剧皓镧传	FilmTele-Play	给 我 播放 讲 宫廷 的 剧皓 镧 传	3
继续播放我们不能是朋友第15集之后的剧集	FilmTele-Play	继续 播放 我们 不能 是 朋友 第 15 集 之后 的 剧集	3
我现在要看张若昀主演的庆余年，第十集吧	FilmTele-Play	我 现在 要 看 张若昀 主演 的 庆 余年 ， 第十集 吧	3
继续放远方的家	FilmTele-Play	继续 放 远方 的 家	3
可以继续播放颖儿出演的电视剧吗	FilmTele-Play	可以 继续 播放 颖儿 出演 的 电视剧 吗	3
我想看彭昱畅出演的沐浴之王	FilmTele-Play	我 想 看 彭昱畅 出演 的 沐浴 之王	3
现在想看看徐峥导演的囧妈	FilmTele-Play	现在 想 看看 徐峥 导演 的 囧 妈	3
随机播放一部80年代的战争片	FilmTele-Play	随机 播放 一部 80 年代 的 战争片	3
播放郭德纲出演的喜剧电影	FilmTele-Play	播放 郭德纲 出演 的 喜剧电影	3
立刻放一个新加坡今年上线的电影	FilmTele-Play	立刻 放 一个 新加坡 今年 上线 的 电影	3
能帮我播放小幸福吗	FilmTele-Play	能 帮 我 播放 小 幸福 吗	3
换我的时代你的时代看看	FilmTele-Play	换 我 的 时代 你 的 时代 看看	3
是否可以播放90年代李若彤的剧	FilmTele-Play	是否 可以 播放 90 年代 李若彤 的 剧	3
请播1985的喜剧济公	FilmTele-Play	请播 1985 的 喜剧 济公	3
可以帮我播放一下第五空间吗	FilmTele-Play	可以 帮 我 播放 一下 第五 空间 吗	3
我们一致同意观看英国的神探夏洛克	FilmTele-Play	我们 一致同意 观看 英国 的 神探 夏洛克	3
是不是能来一个迪丽热巴演的爱情剧呢	FilmTele-Play	是不是 能 来 一个 迪丽 热巴 演 的 爱情 剧 呢	3
柯南剧场版日本的播放下吧	FilmTele-Play	柯南 剧场版 日本 的 播放 下 吧	3
嗨，换一个美国好莱坞动作大片变形金刚	FilmTele-Play	嗨 ， 换 一个 美国 好莱坞 动作 大片 变形金刚	3
播放陈伟祥导演关晓彤主演的我就是这般女子	FilmTele-Play	播放 陈伟祥 导演 关晓彤 主演 的 我 就是 这般 女子	3
你能不能立刻给我播放有迪丽热巴出演的电视剧呢	FilmTele-Play	你 能 不能 立刻 给 我 播放 有迪丽 热巴 出演 的 电视剧 呢	3
帮我播放大唐荣耀	FilmTele-Play	帮 我 播放 大唐 荣耀	3
播放电影，张子枫主演的唐山大地震	FilmTele-Play	播放 电影 ， 张子枫 主演 的 唐山大 地震	3
你能播放玄幻类型的电视剧香蜜吗	FilmTele-Play	你 能 播放 玄幻类 型 的 电视剧 香蜜 吗	3
2019年出的电影流浪地球播放一下呢	FilmTele-Play	2019 年 出 的 电影 流浪 地球 播放 一下 呢	3
动作电影就看美国的碟中谍咯	FilmTele-Play	动作 电影 就 看 美国 的 碟中谍 咯	3
换一个我曾经记得那男孩	FilmTele-Play	换 一个 我 曾经 记得 那 男孩	3
有没有三年前的古装片给我看一个呢	FilmTele-Play	有没有 三年 前 的 古装片 给 我 看 一个 呢	3
为我找到大陆奇幻题材的晴雅集	FilmTele-Play	为 我 找到 大陆 奇幻 题材 的 晴 雅集	3
我想继续观看完美的他的第二十一集	FilmTele-Play	我 想 继续 观看 完美 的 他 的 第二十一 集	3
我需要看一部美国电影盗梦空间呢	FilmTele-Play	我 需要 看 一部 美国 电影 盗梦 空间 呢	3
是不是能看其他日本的恐怖电影啊，贞子已经看过了	FilmTele-Play	是不是 能 看 其他 日本 的 恐怖电影 啊 ， 贞子 已经 看过 了	3
来一个如懿传的第三集可以不可以	FilmTele-Play	来 一个 如懿传 的 第三集 可以 不 可以	3
海王这个电影是不是能继续给我播放下呢	FilmTele-Play	海王 这个 电影 是不是 能 继续 给 我 播放 下 呢	3
播放大秦赋	FilmTele-Play	播放 大 秦赋	3
悬疑片嘛播放万里追踪	FilmTele-Play	悬疑片 嘛 播放 万里 追踪	3
台湾美女林志玲的剧给我播放吧	FilmTele-Play	台湾 美女 林志玲 的 剧 给 我 播放 吧	3
我想看今年到今天为止播放量最高的古装剧	FilmTele-Play	我 想 看 今年 到 今天 为止 播放 量 最高 的 古装剧	3
有没有颖儿今年上的电视剧给我看一个	FilmTele-Play	有没有 颖儿 今年 上 的 电视剧 给 我 看 一个	3
找部赵丽颖霍建华演的奇幻片花千骨看看	FilmTele-Play	找部 赵丽颖 霍 建华 演 的 奇幻 片花 千骨 看看	3
找到并且播放何炅和黄磊参加过的向往的生活	FilmTele-Play	找到 并且 播放 何炅 和 黄磊 参加 过 的 向往 的 生活	3
我需要看杨延东2021年演出的剧呢	FilmTele-Play	我 需要 看 杨延东 2021 年 演出 的 剧 呢	3
贺岁的话那就请给我播放西游降魔篇	FilmTele-Play	贺岁 的话 那 就 请 给 我 播放 西游 降魔 篇	3
李晨和张译演的好家伙播放一下	FilmTele-Play	李晨 和 张译演 的 好家伙 播放 一下	3
郭敬明导演、杨幂主演的电影帮我找一个播放	FilmTele-Play	郭敬明 导演 、 杨幂 主演 的 电影 帮 我 找 一个 播放	3
中国演员肖战的剧给我来一个	FilmTele-Play	中国 演员 肖战 的 剧 给 我 来 一个	3
沈腾主演的飞驰人生等一下播出来	FilmTele-Play	沈腾 主演 的 飞驰 人生 等 一下 播出来	3
大陆热播剧蒋欣主演的小舍得放一下	FilmTele-Play	大陆 热播 剧 蒋欣 主演 的 小 舍得 放 一下	3
那个彩虹的重力我要看	FilmTele-Play	那个 彩虹 的 重力 我要 看	3
关晓彤和吴磊演的什刹海马上给我放	FilmTele-Play	关晓彤 和 吴磊演 的 什刹海 马上 给 我 放	3
我想你现在给我播一个新加坡的2020年上的喜剧	FilmTele-Play	我 想 你 现在 给 我播 一个 新加坡 的 2020 年 上 的 喜剧	3
我想播放陈赫出演的唐人街探案	FilmTele-Play	我 想 播放 陈赫 出演 的 唐人街 探案	3
中国的演员肖战的古装剧来一个看看	FilmTele-Play	中国 的 演员 肖战 的 古装剧 来 一个 看看	3
青春电影，许光汉主演的你的婚礼	FilmTele-Play	青春 电影 ， 许光汉 主演 的 你 的 婚礼	3
来一个日本动漫名侦探柯南呢	FilmTele-Play	来 一个 日本 动漫 名 侦探 柯南 呢	3
有90年代范冰冰出演的中国电影吗	FilmTele-Play	有 90 年代 范冰冰 出演 的 中国 电影 吗	3
我能继续看一下三生三世枕上书吗	FilmTele-Play	我能 继续 看 一下 三生 三世 枕上 书 吗	3
麻烦帮我播唐嫣主演的燕云台	FilmTele-Play	麻烦 帮 我播 唐嫣 主演 的 燕 云台	3
马上要看2016年英国家庭题材电影海蒂和爷爷	FilmTele-Play	马上 要 看 2016 年 英国 家庭 题材 电影 海蒂 和 爷爷	3
不是综艺是电视剧非诚勿扰	FilmTele-Play	不是 综艺 是 电视剧 非诚 勿扰	3
播放由周润发主演的电影英雄本色。	FilmTele-Play	播放 由 周润发 主演 的 电影 英雄本色 。	3
播放刘浩存出演的送你一朵小红花	FilmTele-Play	播放 刘浩存 出演 的 送 你 一朵 小红花	3
立刻把吴磊演的沙海给我播放一下行不行	FilmTele-Play	立刻 把 吴磊演 的 沙海 给 我 播放 一下 行不行	3
我不是药神这个2018年上的电影给我播放一下可以吗	FilmTele-Play	我 不是 药神 这个 2018 年 上 的 电影 给 我 播放 一下 可以 吗	3
我想看甄嬛传的第三集	FilmTele-Play	我 想 看 甄 嬛 传 的 第三集	3
马天宇郑爽演的流淌的美好时光给我放啊	FilmTele-Play	马 天宇 郑爽演 的 流淌 的 美好时光 给 我 放 啊	3
我就想看香港拍的动作片	FilmTele-Play	我 就 想 看 香港 拍 的 动作片	3
我需要你帮我播放一个比较恐怖的电影	FilmTele-Play	我 需要 你 帮 我 播放 一个 比较 恐怖 的 电影	3
2020年播出的终极笔记可以播放第五集不	FilmTele-Play	2020 年 播出 的 终极 笔记 可以 播放 第五集 不	3
张国荣的港片色情男女播放吧	FilmTele-Play	张国荣 的 港片 色情男女 播放 吧	3
胡歌的仙侠剧可以来一个播放一下吗	FilmTele-Play	胡歌 的 仙侠 剧 可以 来 一个 播放 一下 吗	3
现在想看60年代的推理剧	FilmTele-Play	现在 想 看 60 年代 的 推理 剧	3
我想看2018年的偶像剧看看呢，类似三生三世那种剧就行	FilmTele-Play	我 想 看 2018 年 的 偶像剧 看看 呢 ， 类似 三生 三世 那种 剧就行	3
搜一下戚薇演的你好安怡	FilmTele-Play	搜 一下 戚薇演 的 你好 安怡	3
放白眉大侠	FilmTele-Play	放白眉 大侠	3
我想看一个比较轻松快乐的美剧	FilmTele-Play	我 想 看 一个 比较 轻松 快乐 的 美剧	3
三生三世枕上书第二十集给我播放一下呢	FilmTele-Play	三生 三世 枕上 书 第二十 集给 我 播放 一下 呢	3
是不是现在能立刻给我播放一下迪丽热巴新剧的第一集	FilmTele-Play	是不是 现在 能 立刻 给 我 播放 一下 迪丽 热巴 新剧 的 第一集	3
能不能继续播放我上次看的如懿传呢	FilmTele-Play	能 不能 继续 播放 我 上次 看 的 如懿传 呢	3
帮我播放一部现代的偶像剧良辰美景好时光	FilmTele-Play	帮 我 播放 一部 现代 的 偶像剧 良辰美景 好时光	3
独步天下播放一下接上回啊	FilmTele-Play	独步天下 播放 一下 接上 回 啊	3
播放大陆片外交风云，这个剧把六十年代的外交历史形象的演绎出来了	FilmTele-Play	播放 大陆 片 外交 风云 ， 这个 剧把 六十年代 的 外交 历史 形象 的 演绎 出来 了	3
能不能把杨幂的暴风眼播放出来	FilmTele-Play	能 不能 把 杨 幂 的 暴风 眼 播放 出来	3
就播黄晓明主演的神雕侠侣	FilmTele-Play	就播 黄晓明 主演 的 神雕侠侣	3
1点5倍速播放一下唐国强演的东方	FilmTele-Play	1 点 5 倍速 播放 一下 唐国强 演 的 东方	3
有没有日本恐怖片，找一个播放	FilmTele-Play	有没有 日本 恐怖片 ， 找 一个 播放	3
我需要看一部唐嫣的仙剑三呢	FilmTele-Play	我 需要 看 一部 唐嫣 的 仙剑三 呢	3
我想知道七十年代左右的沈腾主演的喜剧都有哪些	FilmTele-Play	我 想 知道 七十年代 左右 的 沈腾 主演 的 喜剧 都 有 哪些	3
蒋雯丽演的正阳门下小女人我要看马上放	FilmTele-Play	蒋雯丽 演 的 正阳门 下 小 女人 我要 看 马上 放	3
我能不能来一部去年的偶像剧呢	FilmTele-Play	我能 不能 来 一部 去年 的 偶像剧 呢	3
能播放一个喜剧吗，就武林外传吧	FilmTele-Play	能 播放 一个 喜剧 吗 ， 就 武林 外传 吧	3
周迅出演的风声给我找一下	FilmTele-Play	周迅 出演 的 风声 给 我 找 一下	3
我想看一个今年上线的刘涛演的电视剧呢	FilmTele-Play	我 想 看 一个 今年 上线 的 刘涛 演 的 电视剧 呢	3
随便找一个玄幻剧播放最后一集	FilmTele-Play	随便 找 一个 玄幻剧 播放 最后 一集	3
给我继续来播放一下海王吧	FilmTele-Play	给 我 继续 来 播放 一下 海王 吧	3
马伊琍演的旗袍美探给我搜下	FilmTele-Play	马伊 琍 演 的 旗袍 美探 给 我 搜下	3
是不是能播放黄晓明的仙侠剧	FilmTele-Play	是不是 能 播放 黄晓明 的 仙侠 剧	3
找一个赵尧珂2021年新上线的电视剧看看	FilmTele-Play	找 一个 赵尧 珂 2021 年 新 上线 的 电视剧 看看	3
张艺兴主演的老九门我想看	FilmTele-Play	张艺兴 主演 的 老 九门 我 想 看	3
麻烦播放一下央视网的经山历海	FilmTele-Play	麻烦 播放 一下 央视网 的 经山 历海	3
看抬头有星光的第35集继续给我播放	FilmTele-Play	看 抬头 有 星光 的 第 35 集 继续 给 我 播放	3
请播放怀旧电视剧武林外传	FilmTele-Play	请 播放 怀旧 电视剧 武林 外传	3
你好，立即为我续播长歌行	FilmTele-Play	你好 ， 立即 为 我续 播长 歌行	3
播放推理片摩天大楼	FilmTele-Play	播放 推理片 摩天大楼	3
继续看美国那个90年代的电影	FilmTele-Play	继续 看 美国 那个 90 年代 的 电影	3
李易峰唐嫣杨洋版本的盗墓笔记帮我2倍速播放	FilmTele-Play	李易峰 唐嫣 杨洋 版本 的 盗墓 笔记 帮 我 2 倍速 播放	3
能看一个去年的鬼片电影吗	FilmTele-Play	能 看 一个 去年 的 鬼片 电影 吗	3
我想你给我来一部去年大火的电视剧隐秘的角落	FilmTele-Play	我 想 你 给 我 来 一部 去年 大火 的 电视剧 隐秘 的 角落	3
能不能给我放一下长歌行的第32集呀	FilmTele-Play	能 不能 给 我 放 一下 长 歌行 的 第 32 集呀	3
大陆拍的哪吒重生给我放一下	FilmTele-Play	大陆 拍 的 哪吒 重生 给 我 放 一下	3
贾玲今年上映的电影给我播放一下	FilmTele-Play	贾玲 今年 上映 的 电影 给 我 播放 一下	3
能找一个赵薇90年代的剧播放吗	FilmTele-Play	能 找 一个 赵薇 90 年代 的 剧 播放 吗	3
我想看76版的西游记可以吗	FilmTele-Play	我 想 看 76 版 的 西游记 可以 吗	3
我想看18年上的电影无名之辈	FilmTele-Play	我 想 看 18 年 上 的 电影 无名之辈	3
新龙门客栈这部由张曼玉和林青霞主演的电影请在周一傍晚六点播出。	FilmTele-Play	新 龙门客栈 这部 由 张曼玉 和 林青霞 主演 的 电影 请 在 周一 傍晚 六点 播出 。	3
今年的贾玲的电影你好李焕英现在给我播放	FilmTele-Play	今年 的 贾玲 的 电影 你好 李焕英 现在 给 我 播放	3
点播李安21世纪初拍的美国影片断背山	FilmTele-Play	点播 李安 21 世纪 初 拍 的 美国 影片 断背山	3
给我播放一个英国的历史片可以吗	FilmTele-Play	给 我 播放 一个 英国 的 历史 片 可以 吗	3
给我播一个喜剧电影羞羞的铁拳吧	FilmTele-Play	给 我播 一个 喜剧电影 羞羞 的 铁拳 吧	3
2020年上映的拆弹专家播给我	FilmTele-Play	2020 年 上映 的 拆弹 专家 播给 我	3
看会儿大唐女法医	FilmTele-Play	看 会儿 大唐 女 法医	3
请播放号手就位这部李璐和张寒冰导演的电视剧。	FilmTele-Play	请 播放 号手 就位 这部 李璐 和 张寒冰 导演 的 电视剧 。	3
你能找一个内地拍的神话剧看会吗古代的特效好点的	FilmTele-Play	你 能 找 一个 内地 拍 的 神话剧 看会 吗 古代 的 特效 好点 的	3
找因为爱情有幸福并播放	FilmTele-Play	找 因为 爱情 有 幸福 并 播放	3
赶快给我播放曾国祥的少年的你	FilmTele-Play	赶快 给 我 播放 曾国祥 的 少年 的 你	3
杨幂的推理剧可以给我看一个吗	FilmTele-Play	杨幂 的 推理 剧 可以 给 我 看 一个 吗	3
播放娄艺潇主演的爱情公寓第二集	FilmTele-Play	播放 娄艺潇 主演 的 爱情 公寓 第二集	3
我想看一会李敏镐拍的韩国的电视剧呢	FilmTele-Play	我 想 看 一会 李敏 镐 拍 的 韩国 的 电视剧 呢	3
有没有日本的灾难片给我看一个呢	FilmTele-Play	有没有 日本 的 灾难片 给 我 看 一个 呢	3
冯绍峰和赵丽颖主演的电视剧知否知否应是绿肥红瘦播放给我看看呢	FilmTele-Play	冯绍峰 和 赵丽颖 主演 的 电视剧 知否 知否 应 是 绿肥红瘦 播放 给 我 看看 呢	3
pp视频上给播放一下星火云雾街	FilmTele-Play	pp 视频 上 给 播放 一下 星火 云雾 街	3
想看动作片五号特工组，就是于震主演的。	FilmTele-Play	想 看 动作片 五号 特工 组 ， 就是 于震 主演 的 。	3
放张国荣主演的霸王别姬看看	FilmTele-Play	放 张国荣 主演 的 霸王别姬 看看	3
麻烦播放一下爱的多米诺	FilmTele-Play	麻烦 播放 一下 爱 的 多米诺	3
播放昨天的看过的美国恐怖片	FilmTele-Play	播放 昨天 的 看过 的 美国 恐怖片	3
印度的电影也不错，来那个摔跤吧爸爸。	FilmTele-Play	印度 的 电影 也 不错 ， 来 那个 摔跤 吧 爸爸 。	3
2倍速播放台湾爱情剧转角遇到爱	FilmTele-Play	2 倍速 播放 台湾 爱情 剧 转角 遇到 爱	3
看一个周星驰的喜剧片吧	FilmTele-Play	看 一个 周星驰 的 喜剧片 吧	3
速度与激情这部出版于美国的动作犯罪类电影。	FilmTele-Play	速度 与 激情 这部 出版 于 美国 的 动作 犯罪 类 电影 。	3
来一个迪丽热巴的偶像剧看吧	FilmTele-Play	来 一个 迪丽 热巴 的 偶像剧 看吧	3
是否能把美国电影海王继续播放呢	FilmTele-Play	是否 能 把 美国 电影 海王 继续 播放 呢	3
能把战争片来不及说爱你播放给我看吗	FilmTele-Play	能 把 战争片 来不及 说 爱 你 播放 给 我 看 吗	3
我想你给我播放一下下一站幸福呢	FilmTele-Play	我 想 你 给 我 播放 一下下 一站 幸福 呢	3
中国今年最火的那个喜剧现在播放一下	FilmTele-Play	中国 今年 最火 的 那个 喜剧 现在 播放 一下	3
唐嫣罗晋演的归来去播放一下	FilmTele-Play	唐嫣 罗晋演 的 归来 去 播放 一下	3
播放美国情景喜剧小谢尔顿	FilmTele-Play	播放 美国 情景喜剧 小 谢尔顿	3
继续播放李雪健演的希望的大地第30集	FilmTele-Play	继续 播放 李雪健 演 的 希望 的 大地 第 30 集	3
是否可以来一个中国的喜剧给我看两眼	FilmTele-Play	是否 可以 来 一个 中国 的 喜剧 给 我 看 两眼	3
帮我继续播放一下电影追龙的第三集吧	FilmTele-Play	帮 我 继续 播放 一下 电影 追龙 的 第三集 吧	3
我要看喜剧西红柿首富。	FilmTele-Play	我要 看 喜剧 西红柿 首富 。	3
你能播放一下三生三世十里桃花杨幂演的那个吗	FilmTele-Play	你 能 播放 一下 三生 三世 十里 桃花 杨幂 演 的 那个 吗	3
来一个讲侦探推理的剧去年的看看吧	FilmTele-Play	来 一个 讲 侦探 推理 的 剧 去年 的 看看 吧	3
能不能继续播一下古天乐的那个电影	FilmTele-Play	能 不能 继续 播 一下 古天乐 的 那个 电影	3
杨幂出演的玄幻剧播放第20集	FilmTele-Play	杨幂 出演 的 玄幻剧 播放 第 20 集	3
孔笙导演的剧请播放生死线	FilmTele-Play	孔笙 导演 的 剧请 播放 生死线	3
播放爱情的开关	FilmTele-Play	播放 爱情 的 开关	3
是否能找一个推理片播放二十集啊	FilmTele-Play	是否 能 找 一个 推理片 播放 二十 集 啊	3
我就最爱看古装剧陈情令，播放一下吧。	FilmTele-Play	我 就 最 爱看 古装剧 陈情 令 ， 播放 一下 吧 。	3
能不能播放一个2000年之后的喜剧电影啊	FilmTele-Play	能 不能 播放 一个 2000 年 之后 的 喜剧电影 啊	3
立刻播放一个韩国艺人李敏镐的电视剧吧	FilmTele-Play	立刻 播放 一个 韩国 艺人 李敏 镐 的 电视剧 吧	3
十分钟后自动播放刘德华的拆弹专家2	FilmTele-Play	十分钟 后 自动播放 刘德华 的 拆弹 专家 2	3
播放日本电影贞子。	FilmTele-Play	播放 日本 电影 贞子 。	3
给我找一部韩国2006年的电视剧看	FilmTele-Play	给 我 找 一部 韩国 2006 年 的 电视剧 看	3
给我播放90年代出版的电影沉默的羔羊。	FilmTele-Play	给 我 播放 90 年代 出版 的 电影 沉默 的 羔羊 。	3
麻雀播放一下吧，就是李易峰主演的那个剧	FilmTele-Play	麻雀 播放 一下 吧 ， 就是 李易峰 主演 的 那个 剧	3
放一部由德国出版的电影窃听风暴。	FilmTele-Play	放 一部 由 德国 出版 的 电影 窃听 风暴 。	3
潘粤明主演的喜剧可以播放一个不或者那个盗墓的也挺好的	FilmTele-Play	潘粤明 主演 的 喜剧 可以 播放 一个 不 或者 那个 盗墓 的 也 挺 好 的	3
找一下偶像剧不良笑花看看	FilmTele-Play	找 一下 偶像剧 不良 笑花 看看	3
继续播放一下如懿传吧	FilmTele-Play	继续 播放 一下 如懿传 吧	3
给我找一个80年代的战争片	FilmTele-Play	给 我 找 一个 80 年代 的 战争片	3
我想的是我们看动作片速度与激情9	FilmTele-Play	我 想 的 是 我们 看 动作片 速度 与 激情 9	3
我准备看刑侦类电视剧重案六组	FilmTele-Play	我 准备 看 刑侦 类 电视剧 重案 六组	3
刘德华出演的电影，人潮汹涌给我找出来	FilmTele-Play	刘德华 出演 的 电影 ， 人潮 汹涌 给 我 找 出来	3
有三年前上线的战争片给我播放一下吗	FilmTele-Play	有 三年 前 上线 的 战争片 给 我 播放 一下 吗	3
